USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
True,False,1,0.1000000,100,39.5967822,0.0232755,0.0310334,0.0133176,1.8378085,22.6826266,"[0.9999874, 0.0022975, -0.0044577, 0.0115563, -0.0023387, 0.9999543, -0.0092672, 0.0032460, 0.0044362, 0.0092775, 0.9999471, -0.0034631, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,5,0.1000000,100,38.8580120,0.0165251,0.0251865,0.0131454,1.8378080,22.6826266,"[0.9999897, 0.0016857, -0.0042024, 0.0105572, -0.0017358, 0.9999273, -0.0119337, 0.0029536, 0.0041819, 0.0119408, 0.9999200, -0.0021726, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,10,0.1000000,100,38.7029221,0.0135983,0.0217105,0.0131949,1.8378081,22.6826266,"[0.9999970, 0.0012697, -0.0020960, 0.0098190, -0.0012864, 0.9999673, -0.0079851, 0.0012545, 0.0020858, 0.0079878, 0.9999659, -0.0020738, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,15,0.1000000,100,37.6926029,0.0126043,0.0202406,0.0131206,1.8378080,22.6826266,"[0.9999171, -0.0026576, -0.0125991, 0.0096524, 0.0021909, 0.9993157, -0.0369293, 0.0023494, 0.0126885, 0.0368986, 0.9992387, -0.0004027, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,20,0.1000000,100,38.9545162,0.0120748,0.0193957,0.0132687,1.8378084,22.6826266,"[0.9999993, 0.0006694, -0.0009422, 0.0087678, -0.0006746, 0.9999842, -0.0055771, -0.0005119, 0.0009385, 0.0055777, 0.9999840, -0.0025491, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,25,0.1000000,100,38.1470900,0.0120657,0.0194359,0.0132195,1.8378083,22.6826266,"[0.9999992, 0.0006721, -0.0011202, 0.0089360, -0.0006788, 0.9999819, -0.0059864, -0.0003103, 0.0011161, 0.0059872, 0.9999815, -0.0026175, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,30,0.1000000,100,38.1232948,0.0120236,0.0193383,0.0132195,1.8378083,22.6826266,"[0.9999991, 0.0006074, -0.0012011, 0.0088063, -0.0006151, 0.9999791, -0.0064262, -0.0003268, 0.0011971, 0.0064269, 0.9999786, -0.0027134, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,35,0.1000000,100,37.7313778,0.0119459,0.0191554,0.0132441,1.8378083,22.6826266,"[0.9999989, 0.0004968, -0.0013662, 0.0083400, -0.0005061, 0.9999764, -0.0068486, -0.0004309, 0.0013628, 0.0068493, 0.9999756, -0.0029812, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,40,0.1000000,100,37.0999360,0.0118534,0.0190037,0.0132195,1.8378083,22.6826266,"[0.9999994, 0.0003721, -0.0010461, 0.0079036, -0.0003793, 0.9999761, -0.0069069, -0.0006550, 0.0010436, 0.0069073, 0.9999756, -0.0031332, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,45,0.1000000,100,37.5485868,0.0118623,0.0191409,0.0131949,1.8378081,22.6826266,"[0.9999996, 0.0002862, -0.0007712, 0.0070001, -0.0002918, 0.9999727, -0.0073819, -0.0005936, 0.0007690, 0.0073821, 0.9999725, -0.0032588, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,50,0.1000000,100,38.0431752,0.0117769,0.0190075,0.0132932,1.8378084,22.6826266,"[0.9999999, 0.0002418, -0.0003108, 0.0040265, -0.0002442, 0.9999719, -0.0074865, -0.0006484, 0.0003089, 0.0074866, 0.9999719, -0.0030218, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,55,0.1000000,100,36.2241158,0.0126374,0.0198063,0.0131454,1.8378080,22.6826266,"[1.0000000, 0.0000510, -0.0000473, -0.0036189, -0.0000514, 0.9999714, -0.0075558, -0.0011355, 0.0000470, 0.0075558, 0.9999714, -0.0027811, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,60,0.1000000,100,35.7399182,0.0140952,0.0216174,0.0129458,1.8378075,22.6826266,"[0.9999999, 0.0002294, -0.0002846, -0.0116230, -0.0002317, 0.9999679, -0.0080117, 0.0001942, 0.0002827, 0.0080118, 0.9999679, -0.0034671, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,65,0.1000000,100,33.3690178,0.0153677,0.0238839,0.0126662,1.8378069,22.6826266,"[0.9999997, 0.0007011, -0.0002776, -0.0192414, -0.0007034, 0.9999652, -0.0083128, 0.0009864, 0.0002718, 0.0083130, 0.9999654, -0.0038006, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,70,0.1000000,100,31.0683162,0.0168051,0.0265129,0.0124329,1.8378063,22.6826266,"[0.9999990, 0.0014033, 0.0000380, -0.0264419, -0.0014030, 0.9999655, -0.0081794, 0.0015509, -0.0000495, 0.0081793, 0.9999666, -0.0038770, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,75,0.1000000,100,31.9776542,0.0175534,0.0278494,0.0126147,1.8378068,22.6826266,"[0.9999984, 0.0017779, 0.0002007, -0.0318862, -0.0017763, 0.9999684, -0.0077447, 0.0013559, -0.0002145, 0.0077444, 0.9999700, -0.0035793, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,80,0.1000000,100,30.6279149,0.0184985,0.0293747,0.0124851,1.8378066,22.6826266,"[0.9999962, 0.0026079, 0.0009276, -0.0372471, -0.0026036, 0.9999857, -0.0046682, 0.0016772, -0.0009397, 0.0046658, 0.9999887, -0.0026651, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,85,0.1000000,100,32.4215181,0.0187242,0.0296767,0.0126919,1.8378069,22.6826266,"[0.9999937, 0.0032587, 0.0013797, -0.0416691, -0.0032567, 0.9999936, -0.0014769, 0.0020120, -0.0013845, 0.0014724, 0.9999980, -0.0019913, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,90,0.1000000,100,31.8823707,0.0189063,0.0298390,0.0126919,1.8378069,22.6826266,"[0.9999921, 0.0038985, 0.0008382, -0.0445819, -0.0038971, 0.9999910, -0.0016821, 0.0026102, -0.0008448, 0.0016788, 0.9999982, -0.0019632, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,95,0.1000000,100,31.3822422,0.0189450,0.0298449,0.0126919,1.8378069,22.6826266,"[0.9999917, 0.0040674, 0.0000739, -0.0489126, -0.0040673, 0.9999911, -0.0011692, 0.0033315, -0.0000787, 0.0011689, 0.9999993, -0.0019028, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
